model,layer,dead_pct_init_baseline,dead_pct_final_baseline,dead_pct_init_auxk,dead_pct_final_auxk,dead_pct_init_centered,dead_pct_final_centered,domain
GPT-2,6,4.04,0.0,3.52,0.0,0.0,0.0,language
Pythia 410m,12,0.49,0.0,0.49,0.0,0.0,0.0,language
ModernBERT-Large,14,29.55,0.51,29.88,0.0,0.0,0.0,language
DINOv2-Large,12,0.51,0.0,0.51,0.0,0.0,0.0,vision
DINOv3-1B,6,14.01,0.04,13.14,0.0,60.81,0.0,vision
DINOv3-7B,20,89.14,65.67,89.14,9.62,0.0,0.0,vision
Stable Diffusion 3.5 Large,37,82.15,67.71,82.15,4.25,0.0,0.0,vision
ProGen2-large,15,0.0,0.0,0.0,0.0,0.0,0.0,biology
gLM2,15,29.88,11.38,29.82,0.02,0.0,0.0,biology
ESM2-650M,16,48.55,4.14,46.58,0.01,0.0,0.0,biology
ESM2-3B,18,73.55,5.77,73.55,1.49,1.01,0.0,biology
ESM3,24,94.16,68.49,94.16,25.28,0.0,0.0,biology
Evo1,14,96.02,98.97,96.02,98.63,71.13,57.82,biology
AlphaFold3,0,98.36,94.43,98.6,71.99,0.0,0.0,biology
